Date,Open,High,Low,Close,Volume,Market Cap
Mar-03-2023,0.08058343138125947,0.08059312820192928,0.07397921252758043,0.07678570819598066,1064070281.5555556,10107592286.698692
Mar-04-2023,0.076847766036811,0.07709838151884704,0.0730038497509025,0.07449571072875472,551480687.7212543,10072579998.7841
Mar-05-2023,0.07457548786935554,0.0759527677204737,0.07440068853147119,0.074822945896619,651256567.1111112,9996834641.897377
Mar-06-2023,0.07480717518742373,0.07511591112845098,0.0734905930984875,0.07481073203595456,547116862.2222222,9852597562.488144
Mar-07-2023,0.07480803945932087,0.07584040887022574,0.07283984694596084,0.07398626781561925,606907868,9873667649.23729
Mar-08-2023,0.0739809590113701,0.07423952041285224,0.07035669743914817,0.0710504193066789,650788732.6315789,9692052233.416428
Mar-09-2023,0.07114889938751003,0.0722031391602116,0.06468970194399988,0.06592632043430674,819994078.7735192,9368747690.401241
Mar-10-2023,0.06595921563495333,0.06608919488697909,0.06284716537541528,0.06585883490522591,1400342962.8432057,8644241439.28893
Mar-11-2023,0.06591300181942286,0.06830502325704703,0.06421313536463176,0.06651478404386808,1073258732.8888888,8721593701.335667
Mar-12-2023,0.06641923728940802,0.0710520017855235,0.06588464159603219,0.07088676445179684,710347042.6666666,8895562414.470463
Mar-13-2023,0.070916906541541,0.07355628063963567,0.06843246226612983,0.07291081643560285,1192019127.2421052,9445259279.723074
Mar-14-2023,0.07302097617045304,0.07752288305066245,0.0715477665418124,0.07484489814716576,1237958205.5211267,9811304036.645126
Mar-15-2023,0.07483056018736708,0.07607820432121334,0.06772054838189241,0.06974162709115593,1413004677.7777777,9642236615.572886
Mar-16-2023,0.06988010739656712,0.07348093720627175,0.06923130521804924,0.07260180589029655,1148145717.9651568,9360859200.51652
Mar-17-2023,0.0725842852224841,0.07727208064616103,0.07166669561293827,0.07637227127433917,1171784010.2222223,9869535718.239693
Mar-18-2023,0.07654865165185634,0.078720411956491,0.07288236237351825,0.07288236237351825,1390659573.3333333,10154390522.87272
Mar-19-2023,0.07302990890159641,0.0765696608229795,0.07302990890159641,0.07447696236167158,1081604580.6666667,9932370084.402323
Mar-20-2023,0.07468407126351215,0.07555840613569395,0.07069944797587674,0.07142716440359358,1071966687.5555556,9745064694.873137
Mar-21-2023,0.0715019317990578,0.07739134674712916,0.07066867557475612,0.07684695612438533,1136543122.8888888,9754801214.042439
Mar-22-2023,0.07673858399831564,0.07777536734550984,0.07207610439556891,0.07394906228660703,1661947331.1111112,9994624175.872627
Mar-23-2023,0.07395623259451416,0.07864290632078264,0.07316661770422492,0.07747785438922743,1744631524.8888888,10095938244.706333
Mar-24-2023,0.07745787853001955,0.07745787853001955,0.07341800936910273,0.07460623852802198,1237593839.3333333,10018960834.431944
Mar-25-2023,0.07462841494760064,0.07597120265182625,0.07266596495229209,0.07402862580598535,861779387.7777778,9909866251.85689
Mar-26-2023,0.07407252964729129,0.07558677053362257,0.07348641660387197,0.0744142854238719,567298410.2510707,9983953646.434916
Mar-27-2023,0.07441121284061,0.07582427046332703,0.07199060479564354,0.07296002663753826,746497473,9741564796.595943
Mar-28-2023,0.07291456404544258,0.07396083417826578,0.07190402067845127,0.07385419499561877,866379104.2222222,9647274463.542042
Mar-29-2023,0.07376339514328349,0.07661188794709815,0.0735753748039501,0.07562643153454783,781572636.4444444,10009426714.60075
Mar-30-2023,0.07564744861855141,0.07669708255524772,0.0736122816247453,0.07425472215880034,863831093.5555556,9934863342.246834
Mar-31-2023,0.0742427428405184,0.07772239666508508,0.07376389242361164,0.07706632877523877,693570739.3333334,9993898011.725096
Apr-01-2023,0.07701379733016618,0.08316256366542255,0.07605322902415358,0.08181369098715166,1114593640.6666667,10363278207.7053